,Name,Platform,Publisher,Developer,Global_Sales,Genre,Platform_Brand,Platform_Type,esrb_rating,userscore,critic_reviews,user_reviews,num_players,Story Focus,Gameplay Focus,Series,score,opencritic_classification,metascore_range
11444,Fight Night Champion,PS3,EA Sports  ,EA Canada  ,1.13,Fighting,Sony,HomeConsole,M,7.3,52.0,116.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Mighty
11445,Fight Night Champion,X360,EA Sports  ,EA Canada  ,0.78,Fighting,Microsoft,HomeConsole,M,7.4,59.0,125.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Mighty
11446,Fight Night Round 4,PS3,EA Sports  ,EA Canada  ,1.52,Fighting,Sony,HomeConsole,T,7.6,46.0,101.0,2 Players,0.0,1.0,0.0,,,Mighty
11447,Fight Night Round 4,X360,EA Sports  ,EA Canada  ,1.4,Fighting,Microsoft,HomeConsole,T,8.1,76.0,93.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Mighty
11448,MVP 06 NCAA Baseball,PS2,EA Sports  ,EA Canada  ,0.75,Sports,Sony,HomeConsole,E,8.6,27.0,20.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11449,MVP 06 NCAA Baseball,XB,EA Sports  ,EA Canada  ,0.34,Sports,Microsoft,HomeConsole,E,8.1,29.0,18.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11450,MVP Baseball 2005,PS2,EA Sports  ,EA Canada  ,1.54,Sports,Sony,HomeConsole,E,8.7,25.0,51.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11452,MVP Baseball 2005,GC,EA Sports  ,EA Canada  ,0.33,Sports,Nintendo,HomeConsole,E,7.5,20.0,20.0,1-2 Players,0.0,1.0,0.0,,,Mighty
11453,MVP Baseball 2005,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.3,11.0,21.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11454,NBA Jam,Wii,EA Sports  ,EA Canada  ,0.41,Sports,Nintendo,HomeConsole,E,8.5,43.0,25.0,1 Player,0.0,1.0,0.0,,,Strong
11455,NBA Live 06,XB,EA Sports  ,EA Canada  ,0.64,Sports,Microsoft,HomeConsole,E,6.4,30.0,16.0,"1-4 Players, 8 Players Online",0.0,1.0,0.0,,,Strong
11456,NBA Live 06,PSP,EA Sports  ,EA Canada  ,0.42,Sports,Sony,Handheld,E,7.7,18.0,14.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11458,NBA Live 06,X360,EA Sports  ,EA Canada  ,0.29,Sports,Microsoft,HomeConsole,E,5.7,35.0,19.0,"1-4 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
11459,NBA Live 06,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.3,9.0,16.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11462,NBA Live 07,PS2,EA Sports  ,EA Canada  ,1.3,Sports,Sony,HomeConsole,E,6.0,12.0,39.0,"1-8 Players, 2 Players Online",0.0,1.0,0.0,,,Fair
11463,NBA Live 07,PSP,EA Sports  ,EA Canada  ,0.51,Sports,Sony,Handheld,E,7.5,9.0,4.0,"1-8 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
11464,NBA Live 07,X360,EA Sports  ,EA Canada  ,0.47,Sports,Microsoft,HomeConsole,E,5.0,32.0,60.0,"1-4 Players, 8 Players Online Up to 8 Players",0.0,1.0,0.0,,,Weak
11465,NBA Live 07,XB,EA Sports  ,EA Canada  ,0.06,Sports,Microsoft,HomeConsole,E,6.6,14.0,14.0,1-4 Players,0.0,1.0,0.0,,,Fair
11466,NBA Live 07,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,3.9,9.0,29.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Fair
11468,NBA Live 09 All-Play,Wii,EA Sports  ,EA Canada  ,0.22,Sports,Nintendo,HomeConsole,E,5.9,11.0,14.0,1-4 Players,0.0,1.0,0.0,,,Weak
11469,NBA Live 10,PS3,EA Sports  ,EA Canada  ,0.54,Sports,Sony,HomeConsole,E,7.4,32.0,27.0,Up to 10 Players,0.0,1.0,0.0,,,Mighty
11470,NBA Live 10,X360,EA Sports  ,EA Canada  ,0.45,Sports,Microsoft,HomeConsole,E,7.7,40.0,40.0,Up to 10 Players,0.0,1.0,0.0,,,Mighty
11472,NBA Live 2001,PS,EA Sports  ,EA Canada  ,1.25,Sports,Sony,HomeConsole,E,7.1,10.0,10.0,1-8 Players,0.0,1.0,0.0,,,Mighty
11474,NBA Live 2001,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.0,13.0,13.0,1-2 Players,0.0,1.0,0.0,,,Strong
11475,NBA Live 2002,PS2,EA Sports  ,EA Canada  ,1.86,Sports,Sony,HomeConsole,E,7.1,16.0,8.0,1-8 Players,0.0,1.0,0.0,,,Strong
11477,NBA Live 2002,XB,EA Sports  ,EA Canada  ,0.4,Sports,Microsoft,HomeConsole,E,7.5,15.0,,1-8 Players,0.0,1.0,0.0,,,Strong
11478,NBA Live 2003,PS2,EA Sports  ,EA Canada  ,1.66,Sports,Sony,HomeConsole,E,8.4,22.0,27.0,1-2 Players,0.0,1.0,0.0,,,Mighty
11479,NBA Live 2003,XB,EA Sports  ,EA Canada  ,0.36,Sports,Microsoft,HomeConsole,E,7.2,17.0,6.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11480,NBA Live 2003,GC,EA Sports  ,EA Canada  ,0.3,Sports,Nintendo,HomeConsole,E,8.2,11.0,5.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11481,NBA Live 2003,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.8,7.0,50.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11483,NBA Live 2004,PS2,EA Sports  ,EA Canada  ,2.03,Sports,Sony,HomeConsole,E,7.7,19.0,42.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11484,NBA Live 2004,XB,EA Sports  ,EA Canada  ,0.51,Sports,Microsoft,HomeConsole,E,8.2,19.0,11.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11485,NBA Live 2004,GC,EA Sports  ,EA Canada  ,0.27,Sports,Nintendo,HomeConsole,E,7.7,17.0,6.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11486,NBA Live 2005,PS2,EA Sports  ,EA Canada  ,2.59,Sports,Sony,HomeConsole,E,8.2,21.0,48.0,"1-8 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11487,NBA Live 2005,XB,EA Sports  ,EA Canada  ,0.9,Sports,Microsoft,HomeConsole,E,7.6,28.0,14.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11488,NBA Live 2005,GC,EA Sports  ,EA Canada  ,0.45,Sports,Nintendo,HomeConsole,E,7.1,17.0,9.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11489,NBA Live 2005,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,8.3,9.0,30.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11492,NBA Street Homecourt,X360,EA Sports  ,EA Canada  ,0.5,Sports,Microsoft,HomeConsole,T,7.6,36.0,23.0,"1 Player, 6 Players Online",0.0,1.0,0.0,,,Mighty
11494,NCAA Basketball 09,X360,EA Sports  ,EA Canada  ,0.22,Sports,Microsoft,HomeConsole,E,5.6,23.0,8.0,"1-4 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Strong
11496,NCAA March Madness 06,PS2,EA Sports  ,EA Canada  ,0.53,Sports,Sony,HomeConsole,E,8.5,19.0,14.0,"1-8 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11497,NCAA March Madness 06,XB,EA Sports  ,EA Canada  ,0.2,Sports,Microsoft,HomeConsole,E,7.2,21.0,5.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11498,NCAA March Madness 07,PS2,EA Sports  ,EA Canada  ,0.56,Sports,Sony,HomeConsole,E,8.6,9.0,8.0,"1-8 Players, 2 Players Online",0.0,1.0,0.0,,,Fair
11499,NCAA March Madness 07,X360,EA Sports  ,EA Canada  ,0.21,Sports,Microsoft,HomeConsole,E,7.1,33.0,15.0,"1-4 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
11502,NCAA March Madness 08,PS3,EA Sports  ,EA Canada  ,0.09,Sports,Sony,HomeConsole,E,4.6,15.0,5.0,"1-4 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Fair
11503,NCAA March Madness 2005,PS2,EA Sports  ,EA Canada  ,0.53,Sports,Sony,HomeConsole,E,8.3,19.0,13.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11504,NCAA March Madness 2005,XB,EA Sports  ,EA Canada  ,0.28,Sports,Microsoft,HomeConsole,E,6.7,18.0,6.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11506,NHL 06,PS2,EA Sports  ,EA Canada  ,0.58,Sports,Sony,HomeConsole,E10+,8.6,27.0,32.0,"1-8 Players, 8 Players Online",0.0,1.0,0.0,,,Strong
11507,NHL 06,XB,EA Sports  ,EA Canada  ,0.25,Sports,Microsoft,HomeConsole,E10+,7.9,35.0,19.0,"1-4 Players, 8 Players Online",0.0,1.0,0.0,,,Strong
11508,NHL 06,GC,EA Sports  ,EA Canada  ,0.08,Sports,Nintendo,HomeConsole,E10+,8.5,8.0,305.0,1 Player,0.0,1.0,0.0,,,Strong
11509,NHL 06,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E10+,7.3,16.0,19.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11510,NHL 07,X360,EA Sports  ,EA Canada  ,0.27,Sports,Microsoft,HomeConsole,E10+,8.5,7.0,22.0,"1 Player, 32 Players Online",0.0,1.0,0.0,,,Strong
11511,NHL 10,X360,EA Sports  ,EA Canada  ,0.66,Sports,Microsoft,HomeConsole,E10+,8.3,52.0,73.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11512,NHL 10,PS3,EA Sports  ,EA Canada  ,0.57,Sports,Sony,HomeConsole,E10+,8.1,35.0,44.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11513,NHL 11,X360,EA Sports  ,EA Canada  ,0.73,Sports,Microsoft,HomeConsole,E10+,7.7,49.0,73.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11514,NHL 11,PS3,EA Sports  ,EA Canada  ,0.59,Sports,Sony,HomeConsole,E10+,7.2,38.0,55.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11515,NHL 12,X360,EA Sports  ,EA Canada  ,0.7,Sports,Microsoft,HomeConsole,E10+,7.1,56.0,76.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11516,NHL 12,PS3,EA Sports  ,EA Canada  ,0.58,Sports,Sony,HomeConsole,E10+,7.5,33.0,59.0,Up to 8 Players,0.0,1.0,0.0,,,Mighty
11517,NHL 14,PS3,EA Sports  ,EA Canada  ,0.57,Sports,Sony,HomeConsole,E10+,6.1,22.0,83.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11518,NHL 14,X360,EA Sports  ,EA Canada  ,0.54,Sports,Microsoft,HomeConsole,E10+,6.1,30.0,98.0,Up to 12 Players,0.0,1.0,0.0,,,Mighty
11519,NHL 15,PS4,EA Sports  ,EA Canada  ,0.62,Sports,Sony,HomeConsole,E10+,3.7,28.0,315.0,2 Players,0.0,1.0,0.0,61.0,Weak,Fair
11521,NHL 15,XOne,EA Sports  ,EA Canada  ,0.42,Sports,Microsoft,HomeConsole,E10+,3.2,22.0,181.0,2 Players,0.0,1.0,0.0,61.0,Weak,Weak
11523,NHL 16,PS4,EA Sports  ,EA Canada  ,0.66,Sports,Sony,HomeConsole,E10+,5.5,28.0,175.0,Up to 12 Players,0.0,1.0,0.0,81.0,Strong,Strong
11524,NHL 16,XOne,EA Sports  ,EA Canada  ,0.51,Sports,Microsoft,HomeConsole,E10+,6.0,18.0,86.0,Up to 12 Players,0.0,1.0,0.0,81.0,Strong,Mighty
11527,NHL 17,XOne,EA Sports  ,EA Canada  ,0.6,Sports,Microsoft,HomeConsole,E10+,4.4,23.0,65.0,Up to 12 Players,0.0,1.0,0.0,79.0,Strong,Strong
11528,NHL 17,PS4,EA Sports  ,EA Canada  ,0.52,Sports,Sony,HomeConsole,E10+,5.7,26.0,129.0,Up to 12 Players,0.0,1.0,0.0,79.0,Strong,Strong
11535,NHL 2001,PS2,EA Sports  ,EA Canada  ,0.96,Sports,Sony,HomeConsole,E,8.2,22.0,12.0,1-8 Players,0.0,1.0,0.0,,,Mighty
11536,NHL 2001,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,6.5,22.0,49.0,1-8 Players,0.0,1.0,0.0,,,Excellent
11537,NHL 2002,PS2,EA Sports  ,EA Canada  ,1.2,Sports,Sony,HomeConsole,T,8.0,41.0,102.0,1 Player,0.0,1.0,0.0,,,Excellent
11538,NHL 2002,XB,EA Sports  ,EA Canada  ,0.27,Sports,Microsoft,HomeConsole,E,6.8,17.0,8.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11539,NHL 2002,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.6,12.0,45.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11540,NHL 2003,PS2,EA Sports  ,EA Canada  ,0.93,Sports,Sony,HomeConsole,E,7.1,20.0,18.0,1-4 Players,0.0,1.0,0.0,,,Strong
11541,NHL 2003,XB,EA Sports  ,EA Canada  ,0.21,Sports,Microsoft,HomeConsole,E,7.4,12.0,9.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11542,NHL 2003,GC,EA Sports  ,EA Canada  ,0.13,Sports,Nintendo,HomeConsole,E,7.5,13.0,4.0,1-4 Players,0.0,1.0,0.0,,,Strong
11543,NHL 2003,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,7.4,12.0,17.0,1 Player,0.0,1.0,0.0,,,Strong
11544,NHL 2005,PS2,EA Sports  ,EA Canada  ,0.45,Sports,Sony,HomeConsole,E,8.2,21.0,25.0,1-4 Players,0.0,1.0,0.0,,,Strong
11545,NHL 2005,XB,EA Sports  ,EA Canada  ,0.16,Sports,Microsoft,HomeConsole,E,6.2,27.0,11.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11546,NHL 2005,GC,EA Sports  ,EA Canada  ,0.07,Sports,Nintendo,HomeConsole,E,5.6,18.0,5.0,1-4 Players,0.0,1.0,0.0,,,Strong
11547,NHL 2005,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,4.5,11.0,36.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Fair
11558,SSX,PS3,EA Sports  ,EA Canada  ,0.92,Sports,Sony,HomeConsole,E,6.8,38.0,135.0,1 Player,0.0,1.0,0.0,,,Mighty
11559,SSX,X360,EA Sports  ,EA Canada  ,0.71,Sports,Microsoft,HomeConsole,E,6.4,65.0,194.0,1 Player,0.0,1.0,0.0,,,Mighty
11560,Tiger Woods PGA Tour,PSP,EA Sports  ,EA Canada  ,0.21,Sports,Sony,Handheld,E,7.4,25.0,14.0,1-4 Players,0.0,1.0,0.0,,,Strong
11568,UEFA Champions League 2006-2007,X360,EA Sports  ,EA Canada  ,0.05,Sports,Microsoft,HomeConsole,E,8.2,27.0,11.0,"1-2 Players, 8 Players Online Up to 8 Players",0.0,1.0,0.0,,,Strong
11570,UEFA Champions League 2006-2007,PS2,EA Sports  ,EA Canada  ,0.0,Sports,Sony,HomeConsole,E,7.6,13.0,8.0,1-8 Players,0.0,1.0,0.0,,,Strong
11572,UEFA Euro 2004: Portugal,PS2,EA Sports  ,EA Canada  ,0.14,Sports,Sony,HomeConsole,E,6.4,21.0,18.0,1-4 Players,0.0,1.0,0.0,,,Strong
11573,UEFA Euro 2004: Portugal,XB,EA Sports  ,EA Canada  ,0.05,Sports,Microsoft,HomeConsole,E,7.8,21.0,10.0,1-4 Players,0.0,1.0,0.0,,,Strong
11574,UEFA Euro 2004: Portugal,PC,EA Sports  ,EA Canada  ,0.0,Sports,PC,PC,E,6.6,16.0,18.0,1-4 Players,0.0,1.0,0.0,,,Strong
11578,Fight Night Round 3,PS3,EA Sports  ,EA Chicago  ,1.67,Fighting,Sony,HomeConsole,T,7.9,37.0,29.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Mighty
11579,Fight Night Round 3,PS2,EA Sports  ,EA Chicago  ,1.56,Fighting,Sony,HomeConsole,T,8.2,32.0,48.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11580,Fight Night Round 3,X360,EA Sports  ,EA Chicago  ,1.47,Fighting,Microsoft,HomeConsole,T,8.8,67.0,272.0,"1-2 Players, 2 Players 2 Players Online",0.0,1.0,0.0,,,Mighty
11581,Fight Night Round 3,PSP,EA Sports  ,EA Chicago  ,0.52,Fighting,Sony,Handheld,T,8.3,22.0,28.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11582,Fight Night Round 3,XB,EA Sports  ,EA Chicago  ,0.33,Fighting,Microsoft,HomeConsole,T,8.4,32.0,23.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11583,NHL 07,PS2,EA Sports  ,EA Montreal  ,0.51,Sports,Sony,HomeConsole,E10+,4.7,11.0,53.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11584,NHL 07,PSP,EA Sports  ,EA Montreal  ,0.17,Sports,Sony,Handheld,E10+,6.6,7.0,27.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11585,NHL 07,XB,EA Sports  ,EA Montreal  ,0.03,Sports,Microsoft,HomeConsole,E10+,6.6,14.0,7.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11586,NHL 07,PC,EA Sports  ,EA Montreal  ,0.0,Sports,PC,PC,E10+,4.4,10.0,33.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11587,Tiger Woods PGA Tour 07,PS2,EA Sports  ,EA Redwood Shores  ,0.72,Sports,Sony,HomeConsole,E,6.0,33.0,8.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11589,Tiger Woods PGA Tour 07,X360,EA Sports  ,EA Redwood Shores  ,0.48,Sports,Microsoft,HomeConsole,E,7.8,44.0,22.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11590,Tiger Woods PGA Tour 07,Wii,EA Sports  ,EA Redwood Shores  ,0.47,Sports,Nintendo,HomeConsole,E,6.9,41.0,44.0,1-4 Players,0.0,1.0,0.0,,,Strong
11591,Tiger Woods PGA Tour 07,XB,EA Sports  ,EA Redwood Shores  ,0.19,Sports,Microsoft,HomeConsole,E,6.8,21.0,6.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11592,Tiger Woods PGA Tour 07,PC,EA Sports  ,EA Redwood Shores  ,0.0,Sports,PC,PC,E,5.0,12.0,21.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11594,Tiger Woods PGA Tour 2003,PS2,EA Sports  ,EA Redwood Shores  ,1.64,Sports,Sony,HomeConsole,E,8.4,18.0,18.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11595,Tiger Woods PGA Tour 2003,XB,EA Sports  ,EA Redwood Shores  ,0.44,Sports,Microsoft,HomeConsole,E,6.9,14.0,11.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11596,Tiger Woods PGA Tour 2003,GC,EA Sports  ,EA Redwood Shores  ,0.23,Sports,Nintendo,HomeConsole,E,6.7,10.0,6.0,1-4 Players,0.0,1.0,0.0,,,Excellent
11597,Tiger Woods PGA Tour 2004,PS2,EA Sports  ,EA Redwood Shores  ,1.63,Sports,Sony,HomeConsole,E,8.6,23.0,44.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11598,Tiger Woods PGA Tour 2004,XB,EA Sports  ,EA Redwood Shores  ,0.62,Sports,Microsoft,HomeConsole,E,7.2,18.0,17.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11599,Tiger Woods PGA Tour 2004,GC,EA Sports  ,EA Redwood Shores  ,0.16,Sports,Nintendo,HomeConsole,E,6.4,16.0,9.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11600,Tiger Woods PGA Tour 2005,PS2,EA Sports  ,EA Redwood Shores  ,1.44,Sports,Sony,HomeConsole,E,8.2,30.0,20.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11601,Tiger Woods PGA Tour 2005,XB,EA Sports  ,EA Redwood Shores  ,0.85,Sports,Microsoft,HomeConsole,E,7.4,26.0,17.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11608,Fight Night Round 2,PS2,EA Sports  ,EA Sports  ,0.87,Fighting,Sony,HomeConsole,T,8.8,37.0,40.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11609,Fight Night Round 2,XB,EA Sports  ,EA Sports  ,0.6,Fighting,Microsoft,HomeConsole,T,8.2,48.0,31.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11610,Fight Night Round 2,GC,EA Sports  ,EA Sports  ,0.17,Fighting,Nintendo,HomeConsole,T,7.4,32.0,11.0,"1-2 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11613,Grand Slam Tennis 2,PS3,EA Sports  ,EA Sports  ,0.24,Sports,Sony,HomeConsole,E,5.4,36.0,20.0,Up to 4 Players,0.0,1.0,0.0,,,Strong
11614,Grand Slam Tennis 2,X360,EA Sports  ,EA Sports  ,0.18,Sports,Microsoft,HomeConsole,E,5.4,45.0,16.0,Up to 4 Players,0.0,1.0,0.0,,,Strong
11616,Knockout Kings 2001,PS,EA Sports  ,EA Sports  ,0.41,Fighting,Sony,HomeConsole,T,7.4,11.0,10.0,1 Player,0.0,1.0,0.0,,,Mighty
11617,Madden NFL 2001,PS,EA Sports  ,EA Sports  ,1.67,Sports,Sony,HomeConsole,E,6.8,14.0,4.0,1 Player,0.0,1.0,0.0,,,Excellent
11618,Madden NFL 2001,PS2,EA Sports  ,EA Sports  ,1.5,Sports,Sony,HomeConsole,E,7.5,25.0,10.0,1-8 Players,0.0,1.0,0.0,,,Excellent
11619,Madden NFL 2001,PC,EA Sports  ,EA Sports  ,0.0,Sports,PC,PC,E,5.8,13.0,5.0,1-2 Players,0.0,1.0,0.0,,,Strong
11620,Madden NFL 2002,PS2,EA Sports  ,EA Sports  ,3.08,Sports,Sony,HomeConsole,E,7.3,23.0,49.0,1-8 Players,0.0,1.0,0.0,,,Excellent
11621,Madden NFL 2002,PS,EA Sports  ,EA Sports  ,1.39,Sports,Sony,HomeConsole,E,7.3,9.0,9.0,1 Player,0.0,1.0,0.0,,,Mighty
11622,Madden NFL 2002,GC,EA Sports  ,EA Sports  ,0.61,Sports,Nintendo,HomeConsole,E,5.2,12.0,6.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11623,Madden NFL 2002,XB,EA Sports  ,EA Sports  ,0.58,Sports,Microsoft,HomeConsole,E,5.9,17.0,140.0,1 Player,0.0,1.0,0.0,,,Excellent
11624,Madden NFL 2002,PC,EA Sports  ,EA Sports  ,0.0,Sports,PC,PC,E,6.8,10.0,10.0,1-4 Players,0.0,1.0,0.0,,,Strong
11627,MVP Baseball 2003,PS2,EA Sports  ,EA Sports  ,1.04,Sports,Sony,HomeConsole,E,8.3,22.0,15.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11628,MVP Baseball 2003,XB,EA Sports  ,EA Sports  ,0.2,Sports,Microsoft,HomeConsole,E,7.7,18.0,11.0,1-2 Players,0.0,1.0,0.0,,,Mighty
11629,MVP Baseball 2003,PC,EA Sports  ,EA Sports  ,0.0,Sports,PC,PC,E,7.4,14.0,12.0,1-2 Players,0.0,1.0,0.0,,,Strong
11630,MVP Baseball 2004,XB,EA Sports  ,EA Sports  ,0.59,Sports,Microsoft,HomeConsole,E,7.8,31.0,23.0,1-2 Players,0.0,1.0,0.0,,,Excellent
11631,MVP Baseball 2004,GC,EA Sports  ,EA Sports  ,0.26,Sports,Nintendo,HomeConsole,E,6.7,25.0,14.0,1-2 Players,0.0,1.0,0.0,,,Mighty
11635,NCAA Football 07,XB,EA Sports  ,EA Sports  ,0.56,Sports,Microsoft,HomeConsole,E,6.9,20.0,10.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Mighty
11644,Tiger Woods PGA Tour 06,PS2,EA Sports  ,EA Sports  ,0.89,Sports,Sony,HomeConsole,E,6.4,29.0,17.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11645,Tiger Woods PGA Tour 06,XB,EA Sports  ,EA Sports  ,0.48,Sports,Microsoft,HomeConsole,E,5.1,30.0,11.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11646,Tiger Woods PGA Tour 06,X360,EA Sports  ,EA Sports  ,0.31,Sports,Microsoft,HomeConsole,E,7.4,36.0,8.0,"1-4 Players, 2 Players Online",0.0,1.0,0.0,,,Strong
11647,Tiger Woods PGA Tour 06,PSP,EA Sports  ,EA Sports  ,0.2,Sports,Sony,Handheld,E,7.9,15.0,8.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11648,Tiger Woods PGA Tour 06,GC,EA Sports  ,EA Sports  ,0.11,Sports,Nintendo,HomeConsole,E,5.8,19.0,5.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11649,Tiger Woods PGA Tour 06,PC,EA Sports  ,EA Sports  ,0.01,Sports,PC,PC,E,7.5,14.0,12.0,"1-2 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11650,Tiger Woods PGA Tour 2002,PS2,EA Sports  ,EA Sports  ,0.9,Sports,Sony,HomeConsole,E,7.6,23.0,5.0,1-4 Players,0.0,1.0,0.0,,,Mighty
11654,Arena Football,PS2,EA Sports  ,EA Tiburon  ,0.56,Sports,Sony,HomeConsole,E10+,8.1,18.0,15.0,"1-8 Players, 4 Players Online",0.0,1.0,0.0,,,Fair
11655,Arena Football,XB,EA Sports  ,EA Tiburon  ,0.15,Sports,Microsoft,HomeConsole,E10+,7.7,17.0,11.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Fair
11656,EA Sports MMA,PS3,EA Sports  ,EA Tiburon  ,0.37,Fighting,Sony,HomeConsole,T,6.9,47.0,47.0,Up to 10 Players,0.0,1.0,0.0,,,Strong
11657,EA Sports MMA,X360,EA Sports  ,EA Tiburon  ,0.35,Fighting,Microsoft,HomeConsole,T,8.0,63.0,52.0,Up to 10 Players,0.0,1.0,0.0,,,Strong
11661,Madden NFL 06,PS2,EA Sports  ,EA Tiburon  ,4.91,Sports,Sony,HomeConsole,E,8.0,29.0,129.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11662,Madden NFL 06,XB,EA Sports  ,EA Tiburon  ,1.86,Sports,Microsoft,HomeConsole,E,6.8,39.0,42.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Mighty
11663,Madden NFL 06,PSP,EA Sports  ,EA Tiburon  ,0.75,Sports,Sony,Handheld,E,7.9,23.0,17.0,"1-2 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
11664,Madden NFL 06,X360,EA Sports  ,EA Tiburon  ,0.59,Sports,Microsoft,HomeConsole,E,4.9,10.0,54.0,Online Multiplayer Up to 10 Players,0.0,1.0,0.0,,,Strong
